130009852,Theft,10/1/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/1/13,0:00
131001212,Theft,10/1/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/1/13,0:00
131001219,Breaking & Entering,10/1/13 0:00,1900 Block HALFORD AV,Santa Clara City Police Department,10/1/13,0:00
130007559,Breaking & Entering,10/1/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/1/13,0:00
130009870,Theft,10/2/13 0:00,3500 Block WARBURTON AV,Santa Clara City Police Department,10/2/13,0:00
131003203,Breaking & Entering,10/3/13 0:00,3100 Block FRESNO ST,Santa Clara City Police Department,10/3/13,0:00
130009916,Theft,10/3/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/3/13,0:00
131003184,Breaking & Entering,10/3/13 0:00,2000 Block CALABAZAS BLVD,Santa Clara City Police Department,10/3/13,0:00
131004188,Theft,10/4/13 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department,10/4/13,0:00
131004178,Assault,10/4/13 0:00,1300 Block CALABAZAS CT,Santa Clara City Police Department,10/4/13,0:00
131005089,Theft,10/5/13 0:00,3100 Block CABRILLO AV,Santa Clara City Police Department,10/5/13,0:00
130009997,Theft,10/5/13 0:00,3100 Block CABRILLO AV,Santa Clara City Police Department,10/5/13,0:00
130009999,Theft,10/5/13 0:00,2100 Block KING CT,Santa Clara City Police Department,10/5/13,0:00
130009988,Assault,10/5/13 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,10/5/13,0:00
131005094,Breaking & Entering,10/5/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/5/13,0:00
131005086,Breaking & Entering,10/5/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/5/13,0:00
130009996,Theft,10/5/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/5/13,0:00
130010052,Theft,10/6/13 0:00,EL CAMINO REAL & LAWRENCE EXPY,Santa Clara City Police Department,10/6/13,0:00
130010036,Theft,10/6/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/6/13,0:00
131006154,Theft,10/6/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department,10/6/13,0:00
130010038,Theft,10/6/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department,10/6/13,0:00
131006149,Theft,10/6/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/6/13,0:00
131007219,Theft,10/7/13 0:00,3000 Block EL CAMINO REAL,Santa Clara City Police Department,10/7/13,0:00
131007211,Vehicle Recovery,10/7/13 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department,10/7/13,0:00
131007144,Theft,10/7/13 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,10/7/13,0:00
130010080,Theft,10/7/13 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,10/7/13,0:00
130010095,Theft,10/7/13 0:00,3000 Block EL CAMINO REAL,Santa Clara City Police Department,10/7/13,0:00
130010077,Theft,10/7/13 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,10/7/13,0:00
130010108,Theft,10/8/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/8/13,0:00
130010141,Theft,10/8/13 0:00,3300 Block MONROE ST,Santa Clara City Police Department,10/8/13,0:00
130010135,Theft,10/8/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,10/8/13,0:00
131008220,Theft,10/8/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/8/13,0:00
130010140,Theft,10/8/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/8/13,0:00
131008206,Theft,10/8/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,10/8/13,0:00
131008237,Theft,10/8/13 0:00,3300 Block MONROE ST,Santa Clara City Police Department,10/8/13,0:00
131009142,Other Sexual Offense,10/9/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,10/9/13,0:00
131009191,Assault,10/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,10/9/13,0:00
131010156,Breaking & Entering,10/10/13 0:00,2600 Block AGATE CT,Santa Clara City Police Department,10/10/13,0:00
130010231,Theft,10/10/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/10/13,0:00
130010220,Assault,10/10/13 0:00,500 Block EL CAMINO REAL,Santa Clara City Police Department,10/10/13,0:00
130010215,Assault,10/10/13 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,10/10/13,0:00
131010237,Theft,10/10/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,10/10/13,0:00
130050763,Breaking & Entering,10/25/13 0:00,800 Block HARRISON ST,Santa Clara Police Department,10/25/13,0:00
131025085,Theft,10/25/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/25/13,0:00
130010767,Theft,10/25/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/25/13,0:00
131025132,Theft,10/25/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,10/25/13,0:00
131026155,Theft,10/26/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/26/13,0:00
130010828,Theft,10/26/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/26/13,0:00
130010820,Theft,10/26/13 0:00,1000 Block BENTON ST,Santa Clara Police Department,10/26/13,0:00
130010816,Theft,10/26/13 0:00,1 Block WASHINGTON ST,Santa Clara Police Department,10/26/13,0:00
131027126,Theft,10/27/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/27/13,0:00
130010866,Theft,10/27/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/27/13,0:00
130010860,Theft,10/27/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/27/13,0:00
131027160,Theft,10/27/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/27/13,0:00
130010849,Assault,10/27/13 0:00,400 Block EL CAMINO REAL,Santa Clara Police Department,10/27/13,0:00
130010856,Theft,10/27/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/27/13,0:00
130050771,Theft,10/28/13 0:00,500 Block EL CAMINO REAL,Santa Clara Police Department,10/28/13,0:00
131028186,Theft,10/28/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/28/13,0:00
130010909,Theft,10/28/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/28/13,0:00
131028169,Theft,10/28/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/28/13,0:00
130010890,Vehicle Recovery,10/28/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/28/13,0:00
130010901,Theft,10/28/13 0:00,1600 Block NEWHALL ST,Santa Clara Police Department,10/28/13,0:00
130010910,Theft,10/28/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/28/13,0:00
130010934,Theft,10/29/13 0:00,1300 Block WASHINGTON ST,Santa Clara Police Department,10/29/13,0:00
130010946,Theft,10/29/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/29/13,0:00
131029228,Theft,10/29/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/29/13,0:00
130010950,Theft,10/29/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/29/13,0:00
131029144,Theft,10/29/13 0:00,600 Block EL CAMINO REAL,Santa Clara Police Department,10/29/13,0:00
131029237,Theft,10/29/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,10/29/13,0:00
131105203,Theft,11/5/13 0:00,2500 Block THE ALAMEDA,Santa Clara Police Department,11/5/13,0:00
131105012,Other Sexual Offense,11/5/13 0:00,1000 Block RAILROAD AV,Santa Clara Police Department,11/5/13,0:00
130011181,Theft,11/5/13 0:00,1400 Block MAIN ST,Santa Clara Police Department,11/5/13,0:00
130050789,Theft,11/5/13 0:00,1200 Block MAIN ST,Santa Clara Police Department,11/5/13,0:00
130011217,Theft,11/5/13 0:00,2500 Block THE ALAMEDA,Santa Clara Police Department,11/5/13,0:00
131106125,Theft,11/6/13 0:00,400 Block EL CAMINO REAL,Santa Clara Police Department,11/6/13,0:00
131106239,Theft,11/6/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/6/13,0:00
130011239,Theft,11/6/13 0:00,400 Block EL CAMINO REAL,Santa Clara Police Department,11/6/13,0:00
130011250,Theft,11/6/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/6/13,0:00
131106229,Theft,11/6/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/6/13,0:00
130011256,Theft,11/6/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/6/13,0:00
130050791,Theft,11/6/13 0:00,800 Block MAIN ST,Santa Clara Police Department,11/6/13,0:00
130011284,Breaking & Entering,11/7/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/7/13,0:00
131107186,Theft,11/7/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/7/13,0:00
131107146,Theft,11/7/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/7/13,0:00
130011262,Vehicle Recovery,11/7/13 0:00,900 Block REEVE ST,Santa Clara Police Department,11/7/13,0:00
131107080,Vehicle Recovery,11/7/13 0:00,REEVE ST & LAFAYETTE ST,Santa Clara Police Department,11/7/13,0:00
131107234,Theft,11/7/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/7/13,0:00
130011276,Theft,11/7/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/7/13,0:00
130011296,Theft,11/7/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/7/13,0:00
130011312,Theft,11/8/13 0:00,MAIN ST & WARBURTON AV,Santa Clara Police Department,11/8/13,0:00
130011325,Theft,11/8/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
131108038,Breaking & Entering,11/8/13 0:00,1200 Block BELLOMY ST,Santa Clara Police Department,11/8/13,0:00
131108163,Theft,11/8/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
131108155,Theft,11/8/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
130011320,Theft,11/8/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
130011327,Theft,11/8/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
131108119,Theft,11/8/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/8/13,0:00
130011318,Assault,11/8/13 0:00,1400 Block COLEMAN BLVD,Santa Clara Police Department,11/8/13,0:00
131109188,Assault,11/9/13 0:00,1 Block WASHINGTON ST,Santa Clara Police Department,11/9/13,0:00
130011408,Theft,11/11/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/11/13,0:00
131111089,Theft,11/11/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/11/13,0:00
131111096,Theft,11/11/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/11/13,0:00
130011403,Assault,11/11/13 0:00,400 Block EL CAMINO REAL,Santa Clara Police Department,11/11/13,0:00
130011397,Assault,11/11/13 0:00,400 Block EL CAMINO REAL,Santa Clara Police Department,11/11/13,0:00
131111162,Vehicle Recovery,11/11/13 0:00,600 Block EL CAMINO REAL,Santa Clara Police Department,11/11/13,0:00
130011413,Vehicle Recovery,11/11/13 0:00,600 Block EL CAMINO REAL,Santa Clara Police Department,11/11/13,0:00
131111086,Theft,11/11/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/11/13,0:00
130011406,Robbery,11/11/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/11/13,0:00
131111085,Theft,11/11/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/11/13,0:00
130011407,Theft,11/11/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/11/13,0:00
131112078,Theft,11/12/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/12/13,0:00
130011456,Theft,11/12/13 0:00,1200 Block CAMPBELL AV,Santa Clara Police Department,11/12/13,0:00
131112215,Theft,11/12/13 0:00,1200 Block CAMPBELL AV,Santa Clara Police Department,11/12/13,0:00
130050803,Theft,11/12/13 0:00,1200 Block BELLOMY ST,Santa Clara Police Department,11/12/13,0:00
130011429,Theft,11/12/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/12/13,0:00
130011428,Theft,11/12/13 0:00,500 Block EL CAMINO REAL,Santa Clara Police Department,11/12/13,0:00
131113199,Theft,11/13/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/13/13,0:00
130011487,Theft,11/13/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/13/13,0:00
130011473,Robbery,11/13/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/13/13,0:00
130011548,Theft,11/15/13 0:00,800 Block REED ST,Santa Clara Police Department,11/15/13,0:00
130050813,Theft,11/15/13 0:00,PALM DR,Santa Clara Police Department,11/15/13,0:00
131116096,Theft,11/16/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/16/13,0:00
130011587,Theft,11/16/13 0:00,1000 Block RAILROAD AV,Santa Clara Police Department,11/16/13,0:00
130011583,Theft,11/16/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/16/13,0:00
131116137,Breaking & Entering,11/16/13 0:00,800 Block MAIN ST,Santa Clara Police Department,11/16/13,0:00
131117178,Theft,11/17/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/17/13,0:00
130011626,Theft,11/17/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/17/13,0:00
131117145,Theft,11/17/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/17/13,0:00
130011610,Theft,11/17/13 0:00,1000 Block REEVE ST,Santa Clara Police Department,11/17/13,0:00
131117071,Theft,11/17/13 0:00,1000 Block REEVE ST,Santa Clara Police Department,11/17/13,0:00
130011623,Theft,11/17/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/17/13,0:00
130011627,Theft,11/17/13 0:00,1600 Block LAFAYETTE ST,Santa Clara Police Department,11/17/13,0:00
130011650,Theft,11/18/13 0:00,1600 Block COLEMAN,Santa Clara Police Department,11/18/13,0:00
130011636,Assault,11/18/13 0:00,2200 Block THE ALAMEDA,Santa Clara Police Department,11/18/13,0:00
130011635,Theft,11/18/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/18/13,0:00
130050817,Theft,11/18/13 0:00,1700 Block LAFAYETTE ST,Santa Clara Police Department,11/18/13,0:00
130011654,Theft,11/18/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/18/13,0:00
131118103,Theft,11/18/13 0:00,1600 Block COLEMAN AV,Santa Clara Police Department,11/18/13,0:00
131118127,Theft,11/18/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/18/13,0:00
131119148,Theft,11/19/13 0:00,1700 Block WASHINGTON ST,Santa Clara Police Department,11/19/13,0:00
130011686,Theft,11/19/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/19/13,0:00
131119076,Theft,11/19/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/19/13,0:00
130011666,Theft,11/19/13 0:00,THE ALAMEDA & MARKET ST,Santa Clara Police Department,11/19/13,0:00
130050818,Theft,11/19/13 0:00,1500 Block JACKSON ST,Santa Clara Police Department,11/19/13,0:00
130011677,Theft,11/19/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/19/13,0:00
131119147,Theft,11/19/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara Police Department,11/19/13,0:00
130011688,Theft,11/19/13 0:00,1700 Block WASHINGTON ST,Santa Clara Police Department,11/19/13,0:00
131119011,Theft,11/19/13 0:00,THE ALAMEDA & MARKET ST,Santa Clara Police Department,11/19/13,0:00
130050819,Theft,11/20/13 0:00,1000 Block BENTON ST,Santa Clara Police Department,11/20/13,0:00
130011713,Assault,11/20/13 0:00,1 Block WASHINGTON ST,Santa Clara Police Department,11/20/13,0:00
131120242,Theft,11/20/13 0:00,900 Block LEWIS ST,Santa Clara Police Department,11/20/13,0:00
131121144,Theft,11/21/13 0:00,600 Block EL CAMINO REAL,Santa Clara Police Department,11/21/13,0:00
130011760,Theft,11/21/13 0:00,100 Block WASHINGTON ST,Santa Clara Police Department,11/21/13,0:00
130011751,Breaking & Entering,11/21/13 0:00,100 Block WASHINGTON ST,Santa Clara Police Department,11/21/13,0:00
131121058,Breaking & Entering,11/21/13 0:00,100 Block WASHINGTON ST,Santa Clara Police Department,11/21/13,0:00
130011752,Theft,11/21/13 0:00,400 Block ALVISO ST,Santa Clara Police Department,11/21/13,0:00
130011821,Assault,11/23/13 0:00,MARKET ST & MAIN ST,Santa Clara Police Department,11/23/13,0:00
131123021,Assault,11/23/13 0:00,MARKET ST & MAIN ST,Santa Clara Police Department,11/23/13,0:00
131124145,Theft,11/24/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/24/13,0:00
130011859,Theft,11/24/13 0:00,2600 Block THE ALAMEDA,Santa Clara Police Department,11/24/13,0:00
S133580161,Assault,12/24/13 12:39,600 Block N 5TH ST,Santa Clara County Sheriff's Office,12/24/13,12:39
S133570275,Assault,12/23/13 16:02,1 Block BLOCK W HEDDING ST,Santa Clara County Sheriff's Office,12/23/13,16:02
S133570148,Breaking & Entering,12/23/13 11:24,100 Block TOPEKA AV,Santa Clara County Sheriff's Office,12/23/13,11:24
131223197,Theft,12/23/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/23/13,0:00
130012832,Theft,12/23/13 0:00,1 Block WASHINGTON ST,Santa Clara City Police Department,12/23/13,0:00
130012827,Theft,12/23/13 0:00,MANCHESTER DR & MONROE ST,Santa Clara City Police Department,12/23/13,0:00
131223025,Theft,12/23/13 0:00,MONROE ST & MANCHESTER DR,Santa Clara City Police Department,12/23/13,0:00
131223179,Theft,12/23/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/23/13,0:00
130012854,Theft,12/23/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/23/13,0:00
131222159,Theft,12/22/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/22/13,0:00
130012817,Theft,12/22/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/22/13,0:00
S133550205,Assault,12/21/13 11:51,600 Block N 5TH ST,Santa Clara County Sheriff's Office,12/21/13,11:51
S133550081,Assault,12/21/13 7:45,N 1ST ST,Santa Clara County Sheriff's Office,12/21/13,7:45
131221091,Vehicle Recovery,12/21/13 0:00,1000 Block CIVIC CENTER DR,Santa Clara City Police Department,12/21/13,0:00
S133540368,Assault with Deadly Weapon,12/20/13 22:07,1 Block W SAN FERNANDO ST,Santa Clara County Sheriff's Office,12/20/13,22:07
S133540318,Assault,12/20/13 19:31,1 Block BLOCK RAILROAD AV,Santa Clara County Sheriff's Office,12/20/13,19:31
131220100,Breaking & Entering,12/20/13 0:00,400 Block LAFAYETTE WAY,Santa Clara City Police Department,12/20/13,0:00
130012730,Breaking & Entering,12/20/13 0:00,400 Block LAFAYETTE WAY,Santa Clara City Police Department,12/20/13,0:00
130012719,Theft,12/20/13 0:00,100 Block ROXBURY ST,Santa Clara City Police Department,12/20/13,0:00
130012710,Theft,12/19/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/19/13,0:00
131219176,Theft,12/19/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/19/13,0:00
S133520018,Assault,12/18/13 1:13,1 Block BLOCK W HEDDING ST,Santa Clara County Sheriff's Office,12/18/13,1:13
S133510456,Assault,12/17/13 23:49,1 Block BLOCK N SAN PEDRO ST,Santa Clara County Sheriff's Office,12/17/13,23:49
S133510368,Assault with Deadly Weapon,12/17/13 19:39,N 1ST ST,Santa Clara County Sheriff's Office,12/17/13,19:39
S133510196,Theft,12/17/13 14:10,400 Block E SAN FERNANDO ST,Santa Clara County Sheriff's Office,12/17/13,14:10
130012612,Theft,12/17/13 0:00,800 Block MAIN ST,Santa Clara City Police Department,12/17/13,0:00
S133500028,Other Sexual Offense,12/16/13 4:06,1 Block BLOCK W HEDDING ST,Santa Clara County Sheriff's Office,12/16/13,4:06
S133500008,Assault,12/16/13 1:47,1 Block BLOCK W HEDDING ST,Santa Clara County Sheriff's Office,12/16/13,1:47
S133490022,Theft,12/15/13 0:55,13000 Block SHASTA AV,Santa Clara County Sheriff's Office,12/15/13,0:55
S133480318,Theft from Vehicle,12/14/13 20:30,1 Block BLOCK S BASCOM AV,Santa Clara County Sheriff's Office,12/14/13,20:30
130012503,Theft,12/14/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/14/13,0:00
131214101,Theft,12/14/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/14/13,0:00
131214130,Theft,12/14/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/14/13,0:00
131214012,Breaking & Entering,12/14/13 0:00,900 Block BELLOMY ST,Santa Clara City Police Department,12/14/13,0:00
130012484,Breaking & Entering,12/14/13 0:00,900 Block BELLOMY ST,Santa Clara City Police Department,12/14/13,0:00
130012504,Theft,12/14/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/14/13,0:00
131213221,Theft,12/13/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/13/13,0:00
130012479,Theft,12/13/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/13/13,0:00
130012437,Theft,12/12/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/12/13,0:00
130012411,Theft,12/12/13 0:00,400 Block MADISON ST,Santa Clara City Police Department,12/12/13,0:00
131212199,Theft,12/12/13 0:00,1600 Block COLEMAN AV,Santa Clara City Police Department,12/12/13,0:00
131212158,Breaking & Entering,12/12/13 0:00,1200 Block SHERWOOD AV,Santa Clara City Police Department,12/12/13,0:00
130012425,Theft,12/12/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/12/13,0:00
130012419,Theft,12/12/13 0:00,1100 Block WASHINGTON ST,Santa Clara City Police Department,12/12/13,0:00
130012432,Breaking & Entering,12/12/13 0:00,1200 Block SHERWOOD AV,Santa Clara City Police Department,12/12/13,0:00
131212078,Theft,12/12/13 0:00,1100 Block WASHINGTON ST,Santa Clara City Police Department,12/12/13,0:00
131212182,Theft,12/12/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/12/13,0:00
130012442,Theft,12/12/13 0:00,1600 Block COLEMAN AV,Santa Clara City Police Department,12/12/13,0:00
130012438,Theft,12/12/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/12/13,0:00
131212181,Theft,12/12/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/12/13,0:00
130012390,Theft,12/11/13 0:00,600 Block FRANKLIN ST,Santa Clara City Police Department,12/11/13,0:00
131210103,Breaking & Entering,12/10/13 0:00,500 Block HILMAR ST,Santa Clara City Police Department,12/10/13,0:00
130012346,Theft,12/10/13 0:00,1100 Block WASHINGTON ST,Santa Clara City Police Department,12/10/13,0:00
130012355,Theft,12/10/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/10/13,0:00
131210131,Theft,12/10/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/10/13,0:00
130012316,Breaking & Entering,12/9/13 0:00,1300 Block JONATHAN ST,Santa Clara City Police Department,12/9/13,0:00
130012320,Theft,12/9/13 0:00,500 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/13,0:00
131209119,Breaking & Entering,12/9/13 0:00,1300 Block JONATHAN ST,Santa Clara City Police Department,12/9/13,0:00
131209179,Theft,12/9/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/9/13,0:00
130012192,Breaking & Entering,12/5/13 0:00,1700 Block DE LA CRUZ BLVD,Santa Clara City Police Department,12/5/13,0:00
130012207,Theft,12/5/13 0:00,1 Block LINDEN DR,Santa Clara City Police Department,12/5/13,0:00
131205030,Breaking & Entering,12/5/13 0:00,1700 Block DE LA CRUZ BLVD,Santa Clara City Police Department,12/5/13,0:00
130012165,Other Sexual Offense,12/4/13 0:00,600 Block EL CAMINO REAL,Santa Clara City Police Department,12/4/13,0:00
130012187,Theft,12/4/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/4/13,0:00
130012177,Theft,12/4/13 0:00,1300 Block JACKSON ST,Santa Clara City Police Department,12/4/13,0:00
130012164,Other Sexual Offense,12/4/13 0:00,600 Block EL CAMINO REAL,Santa Clara City Police Department,12/4/13,0:00
131204173,Theft,12/4/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/4/13,0:00
130050852,Theft,12/3/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/3/13,0:00
130050850,Theft,12/3/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/3/13,0:00
130012140,Other Sexual Offense,12/3/13 0:00,500 Block EL CAMINO REAL,Santa Clara City Police Department,12/3/13,0:00
131202132,Theft,12/2/13 0:00,3000 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/2/13,0:00
130012078,Robbery,12/2/13 0:00,500 Block WASHINGTON ST,Santa Clara City Police Department,12/2/13,0:00
130012091,Theft,12/2/13 0:00,1600 Block COLEMAN,Santa Clara City Police Department,12/2/13,0:00
130012106,Theft,12/2/13 0:00,900 Block LAFAYETTE,Santa Clara City Police Department,12/2/13,0:00
130012102,Theft,12/2/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,12/2/13,0:00
131202019,Robbery,12/2/13 0:00,500 Block WASHINGTON ST,Santa Clara City Police Department,12/2/13,0:00
131201106,Theft,12/1/13 0:00,600 Block PARK CT,Santa Clara City Police Department,12/1/13,0:00
130012045,Vehicle Recovery,12/1/13 0:00,1700 Block DE LA CRUZ,Santa Clara City Police Department,12/1/13,0:00
131201006,Assault,12/1/13 0:00,NEWHALL ST & WASHINGTON ST,Santa Clara City Police Department,12/1/13,0:00
131201080,Assault,12/1/13 0:00,600 Block EL CAMINO REAL,Santa Clara City Police Department,12/1/13,0:00
130012056,Theft,12/1/13 0:00,600 Block PARK CT,Santa Clara City Police Department,12/1/13,0:00
131201101,Theft,12/1/13 0:00,500 Block PARK CT,Santa Clara City Police Department,12/1/13,0:00
131201083,Theft,12/1/13 0:00,600 Block PARK CT,Santa Clara City Police Department,12/1/13,0:00
130012063,Theft,12/1/13 0:00,500 Block PARK CT,Santa Clara City Police Department,12/1/13,0:00
130050841,Theft,12/1/13 0:00,500 Block EL CAMINO REAL,Santa Clara City Police Department,12/1/13,0:00
130050839,Theft,12/1/13 0:00,700 Block COLLEGE AVE,Santa Clara City Police Department,12/1/13,0:00
130050838,Theft,11/30/13 0:00,2800 Block STEVENS CREEK BLVD,Santa Clara City Police Department,11/30/13,0:00
