130012206,Theft,12/5/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,12/5/13,0:00
131209141,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/13,0:00
131209182,Breaking & Entering,12/9/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department,12/9/13,0:00
131209207,Theft,12/9/13 0:00,1400 Block HALFORD AV,Santa Clara City Police Department,12/9/13,0:00
130012336,Theft,12/9/13 0:00,1400 Block HALFORD AV,Santa Clara City Police Department,12/9/13,0:00
131209178,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/13,0:00
130050859,Theft,12/9/13 0:00,3500 Block AGATE DR,Santa Clara City Police Department,12/9/13,0:00
130012323,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/13,0:00
130012331,Theft,12/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/13,0:00
130012330,Breaking & Entering,12/9/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department,12/9/13,0:00
130012358,Breaking & Entering,12/10/13 0:00,3300 Block MONROE ST.,Santa Clara City Police Department,12/10/13,0:00
131210021,Breaking & Entering,12/10/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/10/13,0:00
130050862,Theft,12/10/13 0:00,1400 Block HALFORD AVE,Santa Clara City Police Department,12/10/13,0:00
131210165,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/13,0:00
130012345,Other Sexual Offense,12/10/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,12/10/13,0:00
131210132,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/13,0:00
130012354,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/13,0:00
130012339,Breaking & Entering,12/10/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/10/13,0:00
130012360,Theft,12/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/13,0:00
131210158,Breaking & Entering,12/10/13 0:00,3300 Block MONROE ST,Santa Clara City Police Department,12/10/13,0:00
131210037,Other Sexual Offense,12/10/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,12/10/13,0:00
130012400,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012399,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012392,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211188,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012375,Theft,12/11/13 0:00,3600 Block FLORA VISTA AV,Santa Clara City Police Department,12/11/13,0:00
131211008,Vehicle Recovery,12/11/13 0:00,3300 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012377,Theft,12/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/11/13,0:00
131211088,Theft,12/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/11/13,0:00
131211200,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211133,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211198,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012398,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211197,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012391,Theft,12/11/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211185,Theft,12/11/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
